"ID","LINK","SOCIAL_NETWORK_NAME","INFLUENCER_ID","SOCIAL_NETWORK_USER_ID"
"6469","https://www.instagram.com/rarebeauty","Instagram","6419","3109786630"
"6470","https://www.instagram.com/tv/B_aU86Al-Od","Instagram","6420",
"6471","https://www.instagram.com/gossmakeupartist/","Instagram","6421","219093862"
"6472","https://www.instagram.com/bruce_gilden/","Instagram","6422","1434223189"
"6473","https://www.instagram.com/simplykennedy_/","Instagram","6423","198638287"
"6474","https://www.instagram.com/ecowatch/","Instagram","6424","1361427627"
"6475","https://www.instagram.com/eudiiih/","Instagram","6425","419624963"
"6476","https://www.instagram.com/hervecuisine","Instagram","6426","20537529"
"6477","https://www.instagram.com/Songofstyle/","Instagram","6427","4337379240"
"6478","https://www.instagram.com/vladamua/","Instagram","6428","11480346"
"6479","https://www.instagram.com/mannymua733/","Instagram","6429","1194735637"
"6480","https://www.instagram.com/kimkardashian/","Instagram","6430","18428658"
"6481","https://www.instagram.com/stevemccurryofficial/","Instagram","6431","1463412041"
"6482","https://www.instagram.com/vanessaromito_/","Instagram","6432","226345367"
"6483","https://www.instagram.com/therock/","Instagram","6433","232192182"
"6484","https://www.instagram.com/nationalparkservice","Instagram","6434","1684126013"
"6485","https://www.instagram.com/alexwildology","Instagram","6435","2079882539"
"6486","https://www.instagram.com/joythebaker/","Instagram","6436","1187352"
"6487","https://www.instagram.com/simeonpanda/","Instagram","6437","17746208"
"6488","https://www.instagram.com/deliciouslyella/","Instagram","6438","286342232"
"6489","https://www.instagram.com/everydayclimatechange","Instagram","6439","1561110271"
"6490","https://www.instagram.com/rachparcell/","Instagram","6440","6531734"
"6491","https://www.instagram.com/mynewroots/","Instagram","6441","230994068"
"6492","https://www.instagram.com/arianagrande/","Instagram","6442","7719696"
"6493","https://www.instagram.com/taramilktea/","Instagram","6443","25453231"
"6494","https://www.instagram.com/icouldkillfordessert/","Instagram","6444","6203611012"
"6495","https://www.instagram.com/shakira/","Instagram","6445","217867189"
"6496","https://www.instagram.com/laurenconrad","Instagram","6446","7183558"
"6497","https://www.instagram.com/nikki_makeup/","Instagram","6447","41338471"
"6498","https://www.instagram.com/wrightkitchen/","Instagram","6448","286399175"
"6499","https://www.instagram.com/virunganationalpark","Instagram","6449","2216474652"
"6500","https://www.instagram.com/chrisburkard/","Instagram","6450","36045182"
"6551","https://www.instagram.com/sydneyleroux/","Instagram","6501","17661623"
"6552","https://www.instagram.com/nelkafood/","Instagram","6502","2277780813"
"6553","https://www.instagram.com/pintsizedawesome","Instagram","6503","438939310"
"6554","https://instagram.com/napoleoncatcom","Instagram","6504","794676513"
"6555","https://www.instagram.com/pruu7437","Instagram","6505","43540597286"
"6556","https://www.instagram.com/wellnessevery19","Instagram","6506",
"6557","https://www.instagram.com/cease191","Instagram","6507","2421050434"
"6558","https://www.instagram.com/caribbeannewsglobal/","Instagram","6508","8510927077"
"6559","https://www.instagram.com/eidelmanfoto","Instagram","6509","2640887866"
"6560","https://www.instagram.com/themarketgirl_","Instagram","6510","49450276"
"6561","https://www.instagram.com/caroclack","Instagram","6511","180718329"
"6562","https://www.instagram.com/trendyjungle","Instagram","6512",
"6563","https://www.instagram.com/soyfac","Instagram","6513","1426045830"
"6564","https://www.instagram.com/emablom","Instagram","6514","1243368159"
"6565","https://www.instagram.com/maxifashionbynoelia","Instagram","6515",
"6566","https://www.instagram.com/carlosborregomdp","Instagram","6516","474060440"
"6567","https://www.instagram.com/el_kilombo","Instagram","6517","1552043361"
